intersection_start,intersection_end,intersection_duration
2022-03-09 05:54:07.970416,2022-03-09 17:33:08.540284,0 days 11:39:00.569868
2022-03-09 20:16:08.171382,2022-03-10 05:45:07.374020,0 days 09:28:59.202638
2022-03-10 05:54:08.329205,2022-03-10 11:50:08.635521,0 days 05:56:00.306316
2022-03-10 20:39:07.309373,2022-03-11 05:45:06.997646,0 days 09:05:59.688273
2022-03-11 20:16:07.958597,2022-03-12 05:45:07.308223,0 days 09:28:59.349626
2022-03-12 17:16:07.879107,2022-03-14 05:45:06.762467,1 days 12:28:58.883360
2022-03-14 05:54:08.468548,2022-03-14 20:15:08.206437,0 days 14:20:59.737889
2022-03-14 20:16:07.836881,2022-03-15 05:45:06.636114,0 days 09:28:58.799233
2022-03-15 05:54:08.366348,2022-03-15 09:51:07.912176,0 days 03:56:59.545828
2022-03-15 20:16:08.358748,2022-03-16 05:45:07.118614,0 days 09:28:58.759866
2022-03-16 08:59:07.961707,2022-03-16 11:04:08.225334,0 days 02:05:00.263627
2022-03-16 20:16:07.494464,2022-03-17 05:45:07.160468,0 days 09:28:59.666004
2022-03-17 06:00:06.305413,2022-03-17 08:18:07.958513,0 days 02:18:01.653100
2022-03-17 08:30:07.198887,2022-03-17 10:09:07.961863,0 days 01:39:00.762976
2022-03-17 20:16:07.791766,2022-03-18 05:45:06.869595,0 days 09:28:59.077829
2022-03-18 05:58:07.886760,2022-03-18 08:26:08.088653,0 days 02:28:00.201893
2022-03-18 20:15:08.078445,2022-03-19 05:45:07.185344,0 days 09:29:59.106899
2022-03-19 17:16:08.550952,2022-03-21 05:45:06.689057,1 days 12:28:58.138105
2022-03-21 05:54:07.992435,2022-03-21 12:36:08.332421,0 days 06:42:00.339986
2022-03-21 20:16:07.896406,2022-03-22 05:45:06.486454,0 days 09:28:58.590048
2022-03-22 05:59:08.262103,2022-03-22 07:29:07.805040,0 days 01:29:59.542937
2022-03-22 20:13:06.823156,2022-03-23 05:45:06.963904,0 days 09:32:00.140748
2022-03-23 06:03:06.847413,2022-03-23 07:17:07.143360,0 days 01:14:00.295947
2022-03-23 07:33:06.194959,2022-03-23 09:13:06.831584,0 days 01:40:00.636625
2022-03-23 20:16:06.720773,2022-03-24 05:45:07.092970,0 days 09:29:00.372197
2022-03-24 07:07:06.716165,2022-03-24 08:24:07.062880,0 days 01:17:00.346715
2022-03-24 20:15:06.934984,2022-03-25 05:45:07.153288,0 days 09:30:00.218304
2022-03-25 05:46:06.639993,2022-03-25 07:54:06.912229,0 days 02:08:00.272236
2022-03-25 20:12:07.296796,2022-03-26 05:45:06.909293,0 days 09:32:59.612497
2022-03-26 05:46:06.438722,2022-03-26 06:54:06.972241,0 days 01:08:00.533519
2022-03-26 12:25:06.154035,2022-03-26 13:28:07.071685,0 days 01:03:00.917650
2022-03-26 13:31:06.550132,2022-03-26 14:55:07.134577,0 days 01:24:00.584445
2022-03-26 17:16:06.284265,2022-03-28 04:54:06.478977,1 days 11:38:00.194712
2022-03-28 04:55:06.906177,2022-03-28 06:07:06.586402,0 days 01:11:59.680225
