intersection_start,intersection_end,intersection_duration
2022-02-19 17:15:08.453387,2022-02-21 05:45:06.979983,1 days 12:29:58.526596
2022-02-21 20:15:08.305121,2022-02-22 05:45:06.653321,0 days 09:29:58.348200
2022-02-22 20:11:07.795134,2022-02-23 05:45:07.010389,0 days 09:33:59.215255
2022-02-23 15:54:08.127948,2022-02-24 05:45:06.773771,0 days 13:50:58.645823
2022-02-24 20:15:07.550098,2022-02-25 05:45:06.638509,0 days 09:29:59.088411
2022-02-25 20:15:07.689033,2022-02-26 05:45:06.958929,0 days 09:29:59.269896
2022-02-26 17:15:07.620630,2022-02-28 04:53:07.281574,1 days 11:37:59.660944
2022-02-28 05:54:07.639476,2022-02-28 17:19:07.789714,0 days 11:25:00.150238
2022-02-28 20:16:07.845286,2022-03-01 05:45:06.937674,0 days 09:28:59.092388
2022-03-01 05:54:08.645643,2022-03-01 10:49:08.133386,0 days 04:54:59.487743
2022-03-01 20:14:07.250040,2022-03-02 05:45:06.663837,0 days 09:30:59.413797
2022-03-02 20:13:08.145945,2022-03-03 05:45:06.954238,0 days 09:31:58.808293
2022-03-03 20:14:08.049187,2022-03-03 22:49:06.722055,0 days 02:34:58.672868
2022-03-03 22:51:07.183302,2022-03-04 05:45:06.335647,0 days 06:53:59.152345
2022-03-04 20:15:07.659996,2022-03-05 05:45:06.381607,0 days 09:29:58.721611
2022-03-05 17:16:08.366335,2022-03-07 05:45:06.595940,1 days 12:28:58.229605
2022-03-07 05:54:08.093133,2022-03-07 10:47:07.908315,0 days 04:52:59.815182
2022-03-07 17:35:07.524431,2022-03-07 20:15:07.322648,0 days 02:39:59.798217
2022-03-07 20:16:07.848458,2022-03-08 05:45:07.038607,0 days 09:28:59.190149
2022-03-08 20:16:06.692284,2022-03-09 05:45:06.786139,0 days 09:29:00.093855
2022-03-09 20:16:08.173107,2022-03-10 05:45:07.375517,0 days 09:28:59.202410
2022-03-10 20:15:07.729774,2022-03-11 05:45:06.999037,0 days 09:29:59.269263
2022-03-11 20:16:07.959950,2022-03-12 05:45:07.314216,0 days 09:28:59.354266
2022-03-12 17:16:07.880531,2022-03-14 05:45:06.763888,1 days 12:28:58.883357
2022-03-14 20:14:07.420194,2022-03-15 05:45:06.639573,0 days 09:30:59.219379
2022-03-15 07:15:06.427232,2022-03-15 08:29:08.109537,0 days 01:14:01.682305
2022-03-15 16:04:08.564657,2022-03-16 05:45:07.119833,0 days 13:40:58.555176
2022-03-16 20:03:08.525760,2022-03-17 05:45:07.162040,0 days 09:41:58.636280
2022-03-17 06:54:07.943634,2022-03-17 07:54:07.967680,0 days 01:00:00.024046
2022-03-17 08:32:08.589144,2022-03-17 16:36:08.365629,0 days 08:03:59.776485
2022-03-17 20:12:08.222361,2022-03-18 05:45:06.871092,0 days 09:32:58.648731
2022-03-18 07:03:09.043668,2022-03-18 08:09:07.818245,0 days 01:05:58.774577
2022-03-18 20:17:07.402130,2022-03-19 05:45:07.188122,0 days 09:27:59.785992
2022-03-19 17:17:07.389448,2022-03-21 05:45:06.690327,1 days 12:27:59.300879
2022-03-21 20:16:07.897751,2022-03-22 05:45:06.487709,0 days 09:28:58.589958
2022-03-22 05:59:08.263422,2022-03-22 07:05:07.552780,0 days 01:05:59.289358
2022-03-22 20:13:06.824411,2022-03-23 05:45:06.965244,0 days 09:32:00.140833
2022-03-23 20:16:06.722083,2022-03-24 05:45:07.094464,0 days 09:29:00.372381
2022-03-24 06:46:07.019322,2022-03-24 07:50:06.491398,0 days 01:03:59.472076
2022-03-24 20:16:06.374137,2022-03-25 05:45:07.154650,0 days 09:29:00.780513
2022-03-25 05:46:06.641205,2022-03-25 07:46:06.705065,0 days 02:00:00.063860
2022-03-25 07:47:07.095271,2022-03-25 19:44:06.897716,0 days 11:56:59.802445
2022-03-25 20:12:07.298129,2022-03-26 05:45:06.910518,0 days 09:32:59.612389
2022-03-26 06:38:06.470600,2022-03-28 04:45:06.366816,1 days 22:06:59.896216
2022-03-28 05:51:06.773981,2022-04-01 04:45:06.605557,3 days 22:53:59.831576
2022-04-01 06:19:06.799667,2022-04-02 04:45:06.961247,0 days 22:26:00.161580
2022-04-02 16:16:06.971322,2022-04-04 04:45:07.183880,1 days 12:29:00.212558
2022-04-04 19:16:06.938613,2022-04-05 04:46:06.765678,0 days 09:29:59.827065
2022-04-05 19:17:07.289149,2022-04-06 04:45:06.905448,0 days 09:27:59.616299
2022-04-06 11:03:07.294250,2022-04-06 12:33:06.243494,0 days 01:29:58.949244
2022-04-06 19:17:06.355842,2022-04-07 04:45:07.167466,0 days 09:28:00.811624
2022-04-07 05:59:06.425907,2022-04-07 07:03:06.947746,0 days 01:04:00.521839
2022-04-07 07:04:06.477608,2022-04-08 04:45:07.019417,0 days 21:41:00.541809
2022-04-08 04:46:06.586265,2022-04-08 05:47:07.081471,0 days 01:01:00.495206
2022-04-08 05:48:06.547991,2022-04-09 10:01:06.316928,1 days 04:12:59.768937
2022-04-09 16:17:07.296194,2022-04-11 04:45:06.597874,1 days 12:27:59.301680
2022-04-11 04:56:06.842277,2022-04-11 06:43:06.344529,0 days 01:46:59.502252
2022-04-11 06:56:06.948103,2022-04-11 08:10:06.800609,0 days 01:13:59.852506
2022-04-11 19:14:06.605234,2022-04-12 04:45:06.557819,0 days 09:30:59.952585
2022-04-12 09:22:06.576222,2022-04-12 17:25:07.200263,0 days 08:03:00.624041
2022-04-12 19:08:06.914992,2022-04-13 04:45:06.670352,0 days 09:36:59.755360
2022-04-13 07:43:06.496959,2022-04-14 04:45:06.460620,0 days 21:01:59.963661
2022-04-14 06:03:06.519976,2022-04-18 04:45:06.999701,3 days 22:42:00.479725
2022-04-18 19:13:06.274191,2022-04-19 04:45:06.475954,0 days 09:32:00.201763
2022-04-19 08:01:06.476545,2022-04-19 15:40:06.436066,0 days 07:38:59.959521
2022-04-19 17:24:06.608278,2022-04-20 04:45:06.853123,0 days 11:21:00.244845
2022-04-20 08:37:07.227134,2022-04-20 18:08:06.528360,0 days 09:30:59.301226
2022-04-20 19:08:06.636525,2022-04-21 04:45:06.472913,0 days 09:36:59.836388
2022-04-21 06:46:07.912609,2022-04-21 08:16:06.223598,0 days 01:29:58.310989
2022-04-21 08:19:06.785159,2022-04-21 16:45:06.917377,0 days 08:26:00.132218
2022-04-21 19:08:06.785424,2022-04-22 04:44:07.178257,0 days 09:36:00.392833
2022-04-22 09:26:06.939342,2022-04-22 17:03:07.050807,0 days 07:37:00.111465
2022-04-22 19:11:06.595628,2022-04-23 04:44:06.306609,0 days 09:32:59.710981
2022-04-23 04:45:06.968142,2022-04-23 06:13:07.021368,0 days 01:28:00.053226
2022-04-23 07:52:06.586502,2022-04-25 04:44:06.615535,1 days 20:52:00.029033
2022-04-25 05:36:07.104475,2022-04-26 04:44:07.049400,0 days 23:07:59.944925
2022-04-26 05:30:07.128745,2022-04-28 04:44:06.501374,1 days 23:13:59.372629
2022-04-28 05:26:06.643204,2022-04-29 04:44:06.512509,0 days 23:17:59.869305
2022-04-29 05:28:06.993744,2022-04-30 04:44:06.781970,0 days 23:15:59.788226
2022-04-30 04:48:07.079836,2022-05-13 10:51:06.497729,13 days 06:02:59.417893
2022-05-13 11:00:06.448229,2022-05-13 14:03:07.047198,0 days 03:03:00.598969
2022-05-13 14:04:06.543617,2022-05-16 08:27:06.824061,2 days 18:23:00.280444
2022-05-16 08:28:06.535490,2022-05-16 16:23:06.900887,0 days 07:55:00.365397
2022-05-16 16:24:06.466102,2022-05-17 08:42:06.737611,0 days 16:18:00.271509
2022-05-17 08:51:07.107399,2022-05-17 12:52:07.014663,0 days 04:00:59.907264
2022-05-17 12:53:06.703931,2022-05-18 07:54:06.236638,0 days 19:00:59.532707
2022-05-18 08:03:06.520400,2022-05-18 12:57:06.995691,0 days 04:54:00.475291
2022-05-18 14:04:06.696835,2022-05-18 15:21:06.994391,0 days 01:17:00.297556
2022-05-18 15:22:06.524152,2022-05-19 07:52:07.173508,0 days 16:30:00.649356
2022-05-19 08:01:07.122457,2022-05-19 10:00:06.563793,0 days 01:58:59.441336
2022-05-19 13:43:07.094349,2022-05-19 15:11:07.210806,0 days 01:28:00.116457
2022-05-19 16:41:06.267160,2022-05-20 05:07:06.355468,0 days 12:26:00.088308
2022-05-20 05:08:06.906701,2022-05-20 06:10:06.371680,0 days 01:01:59.464979
2022-05-20 08:57:06.558544,2022-05-20 10:18:06.647865,0 days 01:21:00.089321
2022-05-20 12:18:06.997706,2022-05-20 13:29:06.963467,0 days 01:10:59.965761
2022-05-20 14:34:06.707176,2022-05-20 16:35:07.222996,0 days 02:01:00.515820
2022-05-20 16:36:06.864497,2022-05-21 10:31:07.016593,0 days 17:55:00.152096
2022-05-21 12:31:07.098596,2022-05-23 16:10:06.876227,2 days 03:38:59.777631
2022-05-23 16:19:07.212016,2022-05-24 08:22:07.155048,0 days 16:02:59.943032
2022-05-24 16:18:06.390575,2022-05-25 10:16:06.545329,0 days 17:58:00.154754
2022-05-25 12:04:07.124524,2022-05-27 05:32:07.199399,1 days 17:28:00.074875
2022-05-27 06:14:07.149500,2022-05-27 11:50:06.983693,0 days 05:35:59.834193
2022-05-27 11:51:06.641328,2022-05-27 16:48:07.336860,0 days 04:57:00.695532
2022-05-27 16:49:07.036554,2022-06-02 09:02:07.019967,5 days 16:12:59.983413
2022-06-02 09:11:06.790226,2022-06-02 10:19:06.381674,0 days 01:07:59.591448
2022-06-02 10:20:06.883487,2022-06-03 13:42:07.175709,1 days 03:22:00.292222
2022-06-03 13:51:06.835126,2022-06-03 19:25:06.307384,0 days 05:33:59.472258
2022-06-03 19:26:06.779111,2022-06-05 12:15:06.437586,1 days 16:48:59.658475
2022-06-05 12:32:07.030280,2022-06-05 14:10:06.823395,0 days 01:37:59.793115
2022-06-05 14:18:06.796381,2022-06-06 01:55:06.661614,0 days 11:36:59.865233
2022-06-06 02:15:06.820927,2022-06-06 03:24:07.000565,0 days 01:09:00.179638
2022-06-06 03:25:06.432931,2022-06-06 08:26:06.915439,0 days 05:01:00.482508
2022-06-06 11:05:06.964331,2022-06-06 12:56:06.843324,0 days 01:50:59.878993
2022-06-06 12:57:06.434988,2022-06-06 14:27:06.885757,0 days 01:30:00.450769
2022-06-06 14:28:06.326958,2022-06-07 16:53:06.629721,1 days 02:25:00.302763
2022-06-07 16:54:07.207293,2022-06-07 18:07:06.420175,0 days 01:12:59.212882
2022-06-07 18:08:06.875880,2022-06-10 08:51:07.069485,2 days 14:43:00.193605
2022-06-10 09:00:06.452758,2022-06-10 14:15:06.569919,0 days 05:15:00.117161
2022-06-10 14:16:07.282898,2022-06-13 15:56:06.562523,3 days 01:39:59.279625
2022-06-13 16:00:06.125622,2022-06-14 09:14:07.138464,0 days 17:14:01.012842
2022-06-14 09:23:06.593700,2022-06-14 10:37:07.131232,0 days 01:14:00.537532
2022-06-14 10:38:06.791059,2022-06-14 17:31:06.840583,0 days 06:53:00.049524
2022-06-14 18:31:06.167634,2022-06-15 16:58:07.048187,0 days 22:27:00.880553
2022-06-15 17:12:06.775051,2022-06-15 20:55:06.393410,0 days 03:42:59.618359
2022-06-15 20:56:06.833513,2022-06-16 12:36:06.539462,0 days 15:39:59.705949
2022-06-16 13:24:06.439240,2022-06-17 11:49:07.019618,0 days 22:25:00.580378
2022-06-17 13:02:06.164725,2022-06-17 16:30:06.693120,0 days 03:28:00.528395
2022-06-17 17:12:06.796800,2022-06-17 20:52:06.313450,0 days 03:39:59.516650
2022-06-17 20:53:06.761485,2022-06-24 15:26:06.297878,6 days 18:32:59.536393
2022-06-24 17:54:06.813390,2022-06-25 06:48:06.336105,0 days 12:53:59.522715
2022-06-25 12:21:06.954501,2022-06-25 14:05:06.355927,0 days 01:43:59.401426
2022-06-25 14:12:06.699804,2022-06-27 05:49:06.297839,1 days 15:36:59.598035
2022-06-27 07:47:06.323169,2022-06-27 11:00:06.325044,0 days 03:13:00.001875
2022-06-27 16:51:07.231769,2022-06-28 05:20:06.879829,0 days 12:28:59.648060
2022-06-28 07:29:06.428659,2022-06-28 15:49:06.556978,0 days 08:20:00.128319
2022-06-28 15:50:07.258354,2022-06-28 17:10:06.386518,0 days 01:19:59.128164
2022-06-28 18:19:06.875357,2022-06-28 20:19:06.853738,0 days 01:59:59.978381
2022-06-28 20:28:07.020045,2022-06-29 04:53:06.617014,0 days 08:24:59.596969
2022-06-29 05:35:07.011660,2022-06-29 06:41:06.682162,0 days 01:05:59.670502
2022-06-29 07:07:07.077362,2022-06-29 08:31:06.644293,0 days 01:23:59.566931
2022-06-29 09:48:06.478333,2022-06-29 14:35:06.241311,0 days 04:46:59.762978
2022-06-29 16:54:06.247022,2022-06-29 18:40:07.212974,0 days 01:46:00.965952
2022-06-29 18:50:07.203260,2022-06-30 04:47:06.791809,0 days 09:56:59.588549
2022-06-30 05:11:06.950577,2022-06-30 08:19:06.419811,0 days 03:07:59.469234
2022-06-30 10:07:06.719390,2022-06-30 11:39:07.106758,0 days 01:32:00.387368
2022-06-30 12:42:06.225952,2022-06-30 14:44:06.346209,0 days 02:02:00.120257
2022-06-30 16:06:06.420636,2022-06-30 17:37:06.489870,0 days 01:31:00.069234
2022-06-30 17:43:07.128006,2022-07-01 04:53:06.920913,0 days 11:09:59.792907
2022-07-01 05:37:06.822748,2022-07-01 09:45:06.964575,0 days 04:08:00.141827
2022-07-01 13:39:06.668481,2022-07-01 17:27:06.936989,0 days 03:48:00.268508
2022-07-01 17:36:06.806311,2022-07-02 06:55:06.942314,0 days 13:19:00.136003
2022-07-02 07:43:06.466922,2022-07-02 14:18:07.003777,0 days 06:35:00.536855
2022-07-02 14:25:06.498312,2022-07-04 05:52:06.308503,1 days 15:26:59.810191
2022-07-04 08:27:06.462429,2022-07-12 09:55:06.877576,8 days 01:28:00.415147
2022-07-12 09:56:06.375702,2022-07-14 06:32:06.951881,1 days 20:36:00.576179
2022-07-14 06:41:06.736296,2022-07-14 12:26:06.623206,0 days 05:44:59.886910
2022-07-14 12:27:07.264939,2022-07-15 16:02:06.954855,1 days 03:34:59.689916
2022-07-15 16:06:06.559729,2022-07-16 12:36:07.422144,0 days 20:30:00.862415
2022-07-16 14:05:06.353494,2022-07-16 15:54:07.047525,0 days 01:49:00.694031
2022-07-16 16:02:07.099590,2022-07-17 00:43:07.031744,0 days 08:40:59.932154
2022-07-17 01:08:07.148830,2022-07-17 03:13:07.100744,0 days 02:04:59.951914
2022-07-17 03:14:06.944920,2022-07-17 07:25:07.408623,0 days 04:11:00.463703
2022-07-17 07:26:06.996982,2022-07-17 09:24:07.174035,0 days 01:58:00.177053
2022-07-17 09:38:06.589786,2022-07-18 04:29:06.546947,0 days 18:50:59.957161
2022-07-18 05:16:08.274926,2022-07-18 07:17:06.679521,0 days 02:00:58.404595
2022-07-18 07:27:07.116731,2022-07-19 13:01:06.542453,1 days 05:33:59.425722
2022-07-19 13:02:07.109408,2022-07-20 08:33:06.434188,0 days 19:30:59.324780
2022-07-20 08:34:07.433961,2022-07-22 17:38:06.901031,2 days 09:03:59.467070
2022-07-22 17:39:06.799737,2022-07-23 08:06:07.273711,0 days 14:27:00.473974
2022-07-23 12:22:06.575001,2022-07-23 13:43:06.945014,0 days 01:21:00.370013
2022-07-23 13:48:07.433389,2022-07-25 05:45:07.680301,1 days 15:57:00.246912
2022-07-25 08:01:06.224075,2022-08-03 17:06:07.156575,9 days 09:05:00.932500
2022-08-03 17:07:07.738706,2022-08-04 17:13:06.872892,1 days 00:05:59.134186
2022-08-04 18:19:08.696789,2022-08-05 07:37:08.904251,0 days 13:18:00.207462
2022-08-05 07:38:07.523500,2022-08-05 09:23:10.087772,0 days 01:45:02.564272
2022-08-05 09:31:09.515029,2022-08-08 10:28:08.232717,3 days 00:56:58.717688
2022-08-08 14:53:06.489604,2022-08-09 06:39:07.035292,0 days 15:46:00.545688
2022-08-09 08:36:06.740308,2022-08-09 10:08:06.245288,0 days 01:31:59.504980
2022-08-09 10:25:10.562577,2022-08-19 11:12:07.607192,10 days 00:46:57.044615
2022-08-19 12:03:06.875373,2022-08-23 05:30:07.036220,3 days 17:27:00.160847
2022-08-23 05:31:07.094195,2022-08-23 11:57:09.215401,0 days 06:26:02.121206
2022-08-23 11:58:09.118038,2022-08-23 20:27:06.824782,0 days 08:28:57.706744
2022-08-23 20:28:06.952129,2022-08-24 09:41:07.437139,0 days 13:13:00.485010
2022-08-24 09:47:07.318379,2022-08-25 08:28:06.772866,0 days 22:40:59.454487
2022-08-25 08:29:06.241962,2022-08-25 12:27:06.451319,0 days 03:58:00.209357
2022-08-25 12:29:07.393504,2022-08-29 06:52:07.760365,3 days 18:23:00.366861
2022-08-29 07:02:06.486559,2022-08-29 08:10:08.734215,0 days 01:08:02.247656
2022-08-29 13:41:06.741148,2022-08-29 16:19:06.993428,0 days 02:38:00.252280
2022-08-29 16:20:06.692162,2022-08-30 07:50:07.620302,0 days 15:30:00.928140
2022-08-30 07:59:06.298339,2022-08-30 19:20:06.807404,0 days 11:21:00.509065
2022-08-30 19:21:06.618641,2022-08-31 07:24:06.469816,0 days 12:02:59.851175
2022-08-31 07:33:06.666716,2022-09-01 06:28:06.882145,0 days 22:55:00.215429
2022-09-01 06:29:07.492095,2022-09-07 08:29:07.354912,6 days 01:59:59.862817
2022-09-07 08:38:08.040611,2022-09-07 14:02:06.770118,0 days 05:23:58.729507
2022-09-07 14:03:07.487164,2022-09-09 08:30:06.963651,1 days 18:26:59.476487
2022-09-09 08:40:06.668874,2022-09-13 10:27:11.081717,4 days 01:47:04.412843
2022-09-13 10:36:07.493206,2022-09-13 11:52:10.797132,0 days 01:16:03.303926
2022-09-13 11:53:06.665493,2022-11-07 15:05:06.777109,55 days 03:12:00.111616
2022-11-07 20:03:07.119298,2022-11-08 05:32:07.887953,0 days 09:29:00.768655
2022-11-08 08:12:07.238196,2022-11-09 05:32:06.980076,0 days 21:19:59.741880
2022-11-09 06:47:07.305939,2022-11-12 05:32:06.722059,2 days 22:44:59.416120
2022-11-12 07:22:06.830535,2022-11-12 15:53:06.678196,0 days 08:30:59.847661
2022-11-12 16:52:07.816829,2022-11-14 05:32:07.323098,1 days 12:39:59.506269
2022-11-14 05:33:07.510639,2022-11-14 07:44:07.563071,0 days 02:11:00.052432
2022-11-14 17:01:10.082973,2022-11-14 20:02:07.083397,0 days 03:00:57.000424
2022-11-14 20:03:07.137300,2022-11-15 05:32:06.676823,0 days 09:28:59.539523
2022-11-15 05:51:07.522215,2022-11-15 10:38:06.700252,0 days 04:46:59.178037
2022-11-15 11:01:07.641126,2022-11-15 12:10:07.458311,0 days 01:08:59.817185
2022-11-15 18:24:07.222912,2022-11-16 07:50:06.776379,0 days 13:25:59.553467
2022-11-16 09:31:07.160431,2022-11-16 10:45:07.897038,0 days 01:14:00.736607
2022-11-16 15:06:07.081130,2022-11-16 20:02:06.707454,0 days 04:55:59.626324
2022-11-16 20:03:06.408870,2022-11-17 05:31:06.864239,0 days 09:28:00.455369
2022-11-17 05:57:07.163982,2022-11-17 08:24:11.181610,0 days 02:27:04.017628
2022-11-17 08:37:07.876829,2022-11-17 10:29:06.700240,0 days 01:51:58.823411
2022-11-17 15:39:08.033592,2022-11-18 05:30:07.470439,0 days 13:50:59.436847
2022-11-18 05:52:07.591938,2022-11-18 12:06:07.400310,0 days 06:13:59.808372
2022-11-18 20:01:07.072480,2022-11-19 05:30:07.095478,0 days 09:29:00.022998
2022-11-19 13:48:06.485136,2022-11-19 17:00:06.850015,0 days 03:12:00.364879
2022-11-19 17:01:07.198960,2022-11-21 05:30:07.087477,1 days 12:28:59.888517
2022-11-21 05:39:07.135267,2022-11-21 09:55:07.377598,0 days 04:16:00.242331
2022-11-21 20:01:08.559614,2022-11-22 05:30:07.104880,0 days 09:28:58.545266
2022-11-22 20:01:07.106598,2022-11-23 05:30:07.157003,0 days 09:29:00.050405
2022-11-23 20:01:06.722659,2022-11-24 05:31:06.372975,0 days 09:29:59.650316
2022-11-24 20:02:06.414601,2022-11-25 05:31:06.402839,0 days 09:28:59.988238
2022-11-25 19:59:06.442074,2022-11-26 05:30:33.443074,0 days 09:31:27.001000
2022-11-26 05:48:06.859121,2022-11-26 08:31:06.891818,0 days 02:43:00.032697
2022-11-26 13:37:06.417827,2022-11-26 17:00:06.752039,0 days 03:23:00.334212
2022-11-26 17:01:06.288892,2022-11-28 05:30:07.177136,1 days 12:29:00.888244
2022-11-28 05:39:06.840843,2022-11-28 10:42:06.236661,0 days 05:02:59.395818
2022-11-28 20:01:07.294813,2022-11-29 05:30:06.286950,0 days 09:28:58.992137
2022-11-29 20:01:06.330281,2022-11-30 05:31:07.207444,0 days 09:30:00.877163
2022-11-30 20:02:07.014636,2022-12-01 05:31:07.195802,0 days 09:29:00.181166
2022-12-01 05:40:06.729036,2022-12-01 09:16:07.839029,0 days 03:36:01.109993
2022-12-01 19:59:06.852613,2022-12-02 05:31:07.117993,0 days 09:32:00.265380
2022-12-02 05:45:07.264341,2022-12-02 07:47:07.117021,0 days 02:01:59.852680
2022-12-02 20:00:06.775456,2022-12-03 05:30:06.872407,0 days 09:30:00.096951
2022-12-03 17:01:07.285998,2022-12-05 05:30:06.670757,1 days 12:28:59.384759
2022-12-05 20:01:08.168822,2022-12-06 05:30:06.917689,0 days 09:28:58.748867
2022-12-06 08:19:06.643136,2022-12-06 13:20:06.451402,0 days 05:00:59.808266
2022-12-06 20:00:06.532846,2022-12-07 05:31:07.171760,0 days 09:31:00.638914
2022-12-07 19:58:06.788317,2022-12-08 05:31:06.724274,0 days 09:32:59.935957
2022-12-08 19:54:06.967366,2022-12-09 05:31:06.357190,0 days 09:36:59.389824
2022-12-09 20:02:06.958918,2022-12-10 05:30:06.316664,0 days 09:27:59.357746
2022-12-10 17:01:06.435410,2022-12-12 05:30:06.570374,1 days 12:29:00.134964
2022-12-12 09:30:06.780361,2022-12-12 10:33:06.591985,0 days 01:02:59.811624
2022-12-12 20:02:07.229069,2022-12-13 05:31:06.221300,0 days 09:28:58.992231
2022-12-13 19:57:06.732324,2022-12-14 05:31:06.608456,0 days 09:33:59.876132
2022-12-14 20:02:06.561174,2022-12-15 05:31:06.893329,0 days 09:29:00.332155
2022-12-15 19:25:06.319778,2022-12-16 05:31:07.273966,0 days 10:06:00.954188
2022-12-16 20:02:07.103655,2022-12-17 05:31:06.660931,0 days 09:28:59.557276
2022-12-17 05:57:07.337006,2022-12-17 07:53:06.913479,0 days 01:55:59.576473
2022-12-17 17:02:07.012228,2022-12-19 05:31:06.794298,1 days 12:28:59.782070
2022-12-19 20:02:06.567678,2022-12-20 05:31:06.428701,0 days 09:28:59.861023
2022-12-20 20:03:07.058235,2022-12-21 05:31:07.077470,0 days 09:28:00.019235
2022-12-21 20:00:06.523553,2022-12-22 05:31:06.723676,0 days 09:31:00.200123
2022-12-22 20:02:06.744761,2022-12-23 05:31:06.394991,0 days 09:28:59.650230
2022-12-23 20:00:06.984296,2022-12-24 05:31:07.772930,0 days 09:31:00.788634
2022-12-24 05:52:07.138630,2022-12-24 08:13:06.914196,0 days 02:20:59.775566
2022-12-24 14:58:06.763591,2022-12-24 17:01:06.417981,0 days 02:02:59.654390
2022-12-24 17:02:06.802881,2022-12-26 05:31:06.391058,1 days 12:28:59.588177
2022-12-26 19:56:06.864709,2022-12-27 05:31:06.601374,0 days 09:34:59.736665
2022-12-27 20:00:06.371178,2022-12-28 05:31:06.938692,0 days 09:31:00.567514
2022-12-28 19:54:06.794021,2022-12-29 05:31:07.073291,0 days 09:37:00.279270
2022-12-29 19:54:06.821933,2022-12-30 05:44:06.922451,0 days 09:50:00.100518
2022-12-30 19:57:06.413022,2022-12-31 05:31:06.594724,0 days 09:34:00.181702
2022-12-31 06:04:06.327499,2022-12-31 07:51:06.904338,0 days 01:47:00.576839
2022-12-31 14:22:06.995317,2022-12-31 17:01:06.588964,0 days 02:38:59.593647
2022-12-31 17:02:07.153425,2022-12-31 23:59:06.605668,0 days 06:56:59.452243
2022-01-01 00:00:07.623446,2022-01-01 05:44:06.978374,0 days 05:43:59.354928
2022-01-01 17:07:07.937716,2022-01-03 05:44:07.215630,1 days 12:36:59.277914
2022-01-03 07:06:06.877400,2022-01-03 08:08:07.658962,0 days 01:02:00.781562
2022-01-03 09:39:07.141500,2022-01-03 13:34:07.532151,0 days 03:55:00.390651
2022-01-03 13:35:07.499087,2022-01-04 05:44:06.643700,0 days 16:08:59.144613
2022-01-04 13:26:07.807226,2022-01-05 05:44:06.606657,0 days 16:17:58.799431
2022-01-05 06:26:07.308124,2022-01-05 11:08:08.122982,0 days 04:42:00.814858
2022-01-05 14:12:07.620207,2022-01-06 05:44:07.409307,0 days 15:31:59.789100
2022-01-06 05:45:06.865316,2022-01-06 07:07:07.651665,0 days 01:22:00.786349
2022-01-06 20:14:08.479035,2022-01-07 05:44:07.263742,0 days 09:29:58.784707
2022-01-07 20:15:07.906229,2022-01-08 05:44:07.175624,0 days 09:28:59.269395
2022-01-08 17:15:08.298527,2022-01-10 05:44:06.733897,1 days 12:28:58.435370
2022-01-10 20:15:07.281021,2022-01-11 05:44:06.453112,0 days 09:28:59.172091
2022-01-11 16:18:07.074687,2022-01-12 05:44:06.474202,0 days 13:25:59.399515
2022-01-12 12:42:07.917762,2022-01-13 05:44:06.418469,0 days 17:01:58.500707
2022-01-13 05:58:07.720195,2022-01-13 07:36:07.380999,0 days 01:37:59.660804
2022-01-13 14:44:08.240996,2022-01-14 05:44:06.385912,0 days 14:59:58.144916
2022-01-14 12:02:08.301233,2022-01-15 05:44:06.622828,0 days 17:41:58.321595
2022-01-15 12:22:07.970554,2022-01-17 05:44:07.178478,1 days 17:21:59.207924
2022-01-17 14:23:07.957460,2022-01-18 05:44:07.302320,0 days 15:20:59.344860
2022-01-18 14:29:07.572860,2022-01-19 05:44:06.259078,0 days 15:14:58.686218
2022-01-19 12:21:08.985528,2022-01-20 05:44:07.092515,0 days 17:22:58.106987
2022-01-20 14:23:08.151566,2022-01-21 05:44:06.299982,0 days 15:20:58.148416
2022-01-21 09:23:08.256184,2022-01-22 05:44:06.240718,0 days 20:20:57.984534
2022-01-22 21:29:06.298076,2022-01-23 00:23:06.745964,0 days 02:54:00.447888
2022-01-23 00:30:06.417062,2022-01-23 09:18:07.175521,0 days 08:48:00.758459
2022-01-23 09:31:06.520783,2022-01-23 11:24:07.157156,0 days 01:53:00.636373
2022-01-23 21:23:06.561472,2022-01-23 23:34:06.488324,0 days 02:10:59.926852
2022-01-23 23:41:07.250116,2022-01-24 06:27:07.060363,0 days 06:45:59.810247
2022-01-24 14:22:07.225001,2022-01-25 05:44:07.142764,0 days 15:21:59.917763
2022-01-25 14:51:07.619826,2022-01-26 05:44:07.093258,0 days 14:52:59.473432
2022-01-26 13:27:06.791330,2022-01-27 05:44:07.082287,0 days 16:17:00.290957
2022-01-27 14:23:07.545337,2022-01-28 05:44:06.749964,0 days 15:20:59.204627
2022-01-28 19:25:08.311249,2022-01-29 05:44:06.261156,0 days 10:18:57.949907
2022-01-29 16:57:07.750223,2022-01-31 05:44:07.191328,1 days 12:46:59.441105
2022-01-31 14:39:07.752438,2022-02-01 05:44:07.079358,0 days 15:04:59.326920
2022-02-01 13:23:08.076081,2022-02-02 05:44:06.619738,0 days 16:20:58.543657
2022-02-02 14:39:07.586592,2022-02-03 05:44:06.693337,0 days 15:04:59.106745
2022-02-03 07:45:08.232072,2022-02-03 10:13:08.376548,0 days 02:28:00.144476
2022-02-03 12:47:08.211138,2022-02-04 05:44:07.138671,0 days 16:56:58.927533
2022-02-04 10:12:07.581929,2022-02-05 05:44:06.401073,0 days 19:31:58.819144
2022-02-05 17:15:08.564686,2022-02-07 05:44:06.520057,1 days 12:28:57.955371
